Quarter,portfolio_id,returns,asset_class,asset_id,psi_t,phi_t,cay_t,T_Bill_Rate,RREL_t,consumption_growth,avg_excess_return
1980 Q4,ME2 INV4,1.073458310092183,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.06267502324115037
1980 Q4,ME2 INV5,1.0708194471775718,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.06531388615576161
1980 Q4,ME3 INV1,1.0958097317084337,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.040323601624899785
1980 Q4,ME3 INV2,1.113526977995447,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.022606355337886352
1980 Q4,ME3 INV3,1.12669320719249,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.009440126140843441
1980 Q4,ME3 INV4,1.0703746926427637,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.06575864069056969
1980 Q4,ME3 INV5,1.0561219217909663,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.08001141154236713
1980 Q4,ME4 INV1,1.124933222591247,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.011200110742086489
1980 Q4,ME4 INV2,1.1083139024251323,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.02781943090820116
1980 Q4,ME4 INV3,1.0701566660349833,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.06597666729835017
1980 Q4,ME4 INV4,1.0715879705902063,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.06454536274312717
1980 Q4,ME4 INV5,1.0261052647355684,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.11002806859776504
1980 Q4,BIG LoINV,1.1223449573288766,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.013788376004456815
1980 Q4,ME5 INV2,1.0380040928172574,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.09812924051607608
1980 Q4,ME5 INV3,1.0040902553151716,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.13204307801816184
1980 Q4,ME5 INV4,0.9557761774248572,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.18035715590847623
1980 Q4,BIG HiINV,0.9265427201544527,equity,size_inv,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.20959061317888072
1980 Q4,SMALL LoOP,1.0459383988479753,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.09019493448535809
1980 Q4,ME1 OP2,1.11310047185168,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.02303286148165351
1980 Q4,ME1 OP3,1.0905385109817851,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.045594822351548325
1980 Q4,ME1 OP4,1.0782403499622626,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.05789298337107085
1980 Q4,SMALL HiOP,1.052791231556208,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.08334210177712542
1980 Q4,ME2 OP1,1.069891076033253,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.06624225730008049
1980 Q4,ME2 OP2,1.09703297305931,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.039100360274023416
1980 Q4,ME2 OP3,1.0768737856849337,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.05925954764839969
1980 Q4,ME2 OP4,1.087903027863979,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.04823030546935447
1980 Q4,ME2 OP5,1.0877160297654498,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.04841730356788365
1980 Q4,ME3 OP1,1.109754223768138,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.026379109565195513
1980 Q4,ME3 OP2,1.097852390887573,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.03828094244576041
1980 Q4,ME3 OP3,1.0633217166155706,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.07281161671776282
1980 Q4,ME3 OP4,1.1183559928930247,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.017777340440308764
1980 Q4,ME3 OP5,1.0615807090168776,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.07455262431645582
1980 Q4,ME4 OP1,1.1042188150139283,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.03191451831940517
1980 Q4,ME4 OP2,1.0782737159267863,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.057859617406547104
1980 Q4,ME4 OP3,1.0790436039656104,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.05708972936772305
1980 Q4,ME4 OP4,1.1061475620645629,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.029985771268770556
1980 Q4,ME4 OP5,1.0311165450842035,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.10501678824912997
1980 Q4,BIG LoOP,1.0990266093060068,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.03710672402732662
1980 Q4,ME5 OP2,1.083929836988945,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.05220349634438848
1980 Q4,ME5 OP3,0.9684152748020144,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.16771805853131905
1980 Q4,ME5 OP4,1.0122886011501278,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.12384473218320569
1980 Q4,BIG HiOP,0.9211679126933332,equity,size_op,0.899861482279526,2.932560059324761,-0.0104495035,1.1361333333333334,0.040494444444444444,0.013511055605756939,-0.21496542064000024
1981 Q1,Lo PRIOR,0.9964527408000001,equity,long_run_reversals,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.1474472591999998
1981 Q1,PRIOR 2,1.0026926307839998,equity,long_run_reversals,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.14120736921600008
1981 Q1,PRIOR 3,0.98892837252,equity,long_run_reversals,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.15497162747999993
1981 Q1,PRIOR 4,1.061938866975,equity,long_run_reversals,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.08196113302499985
1981 Q1,PRIOR 5,1.03324865952,equity,long_run_reversals,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.11065134048000003
1981 Q1,PRIOR 6,1.0277556056759998,equity,long_run_reversals,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.11614439432400014
1981 Q1,PRIOR 7,0.9960458312,equity,long_run_reversals,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.1478541687999999
1981 Q1,PRIOR 8,0.9664931371679999,equity,long_run_reversals,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.17740686283200002
1981 Q1,PRIOR 9,0.91950931072,equity,long_run_reversals,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.22439068927999994
1981 Q1,Hi PRIOR,0.9654126638080001,equity,long_run_reversals,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.17848733619199986
1981 Q1,SMALL LoBM,1.0042614321437318,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.13963856785626816
1981 Q1,ME1 BM2,1.092838328965985,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.05106167103401482
1981 Q1,ME1 BM3,1.0947344199949378,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.049165580005062104
1981 Q1,ME1 BM4,1.1025452364961565,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.04135476350384337
1981 Q1,SMALL HiBM,1.1008957759659324,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.04300422403406756
1981 Q1,ME2 BM1,1.0035982612485312,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.14030173875146867
1981 Q1,ME2 BM2,1.0528133401550952,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.09108665984490472
1981 Q1,ME2 BM3,1.0579037303857874,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.08599626961421247
1981 Q1,ME2 BM4,1.0393808571853884,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.1045191428146115
1981 Q1,ME2 BM5,1.0820801513442766,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.06181984865572332
1981 Q1,ME3 BM1,0.9947126816160682,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.14918731838393173
1981 Q1,ME3 BM2,1.0718180988893964,equity,size_bm,0.8991476499101356,2.8215238821414954,-0.0017702379,1.1439,0.041597222222222216,0.0033498554407349612,-0.07208190111060353
